ds,pkg,old_ver,new_ver,note_en,note_zh
2026-07-24,pg_wait_sampling,1.1.11,1.1.11,+RPM PG14-18; SQL 1.1,+RPM PG14-18；SQL 1.1
2026-07-24,pg_when,0.1.9,0.1.9,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pgauditlogtofile,1.8.4,1.8.5,PG14-18,PG14-18
2026-07-24,pgautofailover,2.2,2.2,6 EL RPM: +PG18,6 个 EL RPM：+PG18
2026-07-24,pgbouncer_fdw,1.4.0,1.4.0,+DEB PG14-18,+DEB PG14-18
2026-07-24,pgbson,2.0.2,2.0.4,pkg 2.0.4; SQL 2.0; PG14-18,包 2.0.4；SQL 2.0；PG14-18
2026-07-24,pgclone,4.3.2,4.4.2,PG14-18,PG14-18
2026-07-24,pgdd,0.6.1,0.6.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pgextwlist,1.19,1.20,PG14-18,PG14-18
2026-07-24,pggraph,0.1.7,0.1.8,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pgl_ddl_deploy,2.2.1,2.2.1,+RPM PG14-18; +U26 DEB PG14-17; 10 DEB: +PG18; U26 PG14-17,+RPM PG14-18；+U26 DEB PG14-17；10 个 DEB：+PG18；U26 PG14-17
2026-07-24,pglinter,2.0.0,2.0.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pglite_fusion,0.0.6,0.0.6,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pglogical_ticker,1.4.1,1.4.1,6 EL RPM PG14-17,6 个 EL RPM PG14-17
2026-07-24,pgmemcache,2.3.0,2.3.0,EL8 aarch64 RPM PG14-15,EL8 aarch64 RPM PG14-15
2026-07-24,pgmemento,,0.7.4,SQL-only; PG14-18,纯 SQL；PG14-18
2026-07-24,pgml,2.10.0,2.10.0,EL10/D13/U26; PG14-17; 2 arch,EL10/D13/U26；PG14-17；双架构
2026-07-24,pgmnemo,0.12.1,0.13.0,PG17-18,PG17-18
2026-07-24,pgmonitor,,2.2.0,PG14-18,PG14-18
2026-07-24,pgmq,1.11.1,1.12.0,PG14-18,PG14-18
2026-07-24,pgmqtt,0.3.0,0.4.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pgnodemx,1.7,2.0.1,pkg 2.0.1; SQL 2.0; PG14-18; cgroup-safe,包 2.0.1；SQL 2.0；PG14-18；cgroup 安全
2026-07-24,pgrdf,0.6.4,0.6.20,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pgsentinel,1.4.1,1.4.2,RPM 1.4.2; DEB 1.4.0; U26 1.4.1; PG14-18,RPM 1.4.2；DEB 1.4.0；U26 1.4.1；PG14-18
2026-07-24,pgsmcrypto,0.1.1,0.1.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pgspider_ext,1.3.0,1.3.0,+RPM PG14-18; PG18 compatible; 10 DEB: +PG18; PG15-18,+RPM PG14-18；兼容 PG18；10 个 DEB：+PG18；支持 PG15-18
2026-07-24,pgsqlmock,,1.0.1,PG14-18,PG14-18
2026-07-24,pgvector,0.8.4,0.8.5,PG14-18,PG14-18
2026-07-24,pgvectorscale,0.9.0,0.9.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pgx_ulid,0.2.3,0.2.3,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,pllua,2.0.12,2.0.12,6 EL: +PG18; EL8 aarch64: +PG14-15; +RPM 6 EL PG14-18,6 个 EL：+PG18；EL8 aarch64：+PG14-15；+RPM 6 个 EL PG14-18
2026-07-24,plpgsql_check,2.9.2,2.10.1,PG14-18,PG14-18
2026-07-24,plproxy,2.11.0,2.12.0,PG14-18,PG14-18
2026-07-24,plprql,18.0.1,18.0.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,plx,,1.3.1,PG14-18,PG14-18
2026-07-24,powa,5.1.2,5.2.0,DEB 5.2.0; RPM 5.1.0; PG14-18,DEB 5.2.0；RPM 5.1.0；PG14-18
2026-07-24,provsql,1.10.0,1.11.0,PG14-18,PG14-18
2026-07-24,rdkit,202503.6,202503.6,"202303.3; EL8/9, D12/U22; PG14-18; D12/U22 PG17-18: 202303.3; U26 PG14-17: 202503.6; runtimes unchanged",202303.3；EL8/9、D12/U22；PG14-18；D12/U22 PG17-18：202303.3；U26 PG14-17：202503.6；运行时不变
2026-07-24,re2,0.3.0,0.4.1,PG16-18,PG16-18
2026-07-24,snowflake,2.4,2.5.0,pgEdge; PG15-18,pgEdge；PG15-18
2026-07-24,spock,5.0.6,5.0.10,pgEdge; PG15-18,pgEdge；PG15-18
2026-07-24,sqlite_fdw,2.5.0,2.5.0,"RPM r3: +PG18, EL8 SQLite; PG14-18; 10 DEB: +PG18; PG14-18",RPM r3：+PG18、兼容 EL8 SQLite；PG14-18；10 个 DEB：+PG18；支持 PG14-18
2026-07-24,sslutils,1.4,1.4,"EL8 RPM PG18, 2 arch",EL8 双架构 RPM PG18
2026-07-24,system_stats,4.0,4.1,PG14-18; 10 DEB targets,PG14-18；10 个 DEB 目标
2026-07-24,tdigest,1.4.3,1.4.4,PG14-18,PG14-18
2026-07-24,timescaledb,2.28.2,2.28.3,PG15-18: 2.28.3; PG14: 2.19.3; 6 EL,PG15-18：2.28.3；PG14：2.19.3；6 个 EL
2026-07-24,timescaledb_toolkit,1.23.0,1.23.0,pgrx 0.19.1; PG15-18,pgrx 0.19.1；PG15-18
2026-07-24,vchord,1.1.1,1.1.1,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,vchord_bm25,0.3.0,0.3.0,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-24,wal2mongo,1.0.7,1.0.7,+RPM PG14-18; PG17-18 compatible; 10 DEB: +PG17-18; PG14-18,+RPM PG14-18；兼容 PG17-18；10 个 DEB：+PG17-18；支持 PG14-18
2026-07-24,wrappers,0.6.1,0.6.2,pgrx 0.19.1; PG14-18,pgrx 0.19.1；PG14-18
2026-07-07,agensgraph-17,2.16.0,2.17.0,PG 17.10,PG 17.10
2026-07-07,babelfish-17,5.4.0,5.4.0,PG 17.7,PG 17.7
2026-07-07,babelfish-18,,6.0.0,PG 18.3,PG 18.3
2026-07-07,cloudberry,2.1.0-2,2.1.0-3,"/usr/cloudberry; rebuild; RPM 2.1.0-3, DEB 2.1.0-2",/usr/cloudberry；重构建；RPM 2.1.0-3，DEB 2.1.0-2
2026-07-07,cloudberry_backup,2.1.0-2,2.1.0-3,"/usr/cloudberry/bin; backup; RPM 2.1.0-3, DEB 2.1.0-2",/usr/cloudberry/bin；backup；RPM 2.1.0-3，DEB 2.1.0-2
2026-07-07,cloudberry_pxf,2.1.0-2,2.1.0-3,"/usr/cloudberry-pxf; PXF; RPM 2.1.0-3, DEB 2.1.0-2",/usr/cloudberry-pxf；PXF；RPM 2.1.0-3，DEB 2.1.0-2
2026-07-07,ivorysql-18,,5.4,PG 18,PG 18
2026-07-07,openhalodb-14,1.0-beta,1.0-2,OpenHaloDB,OpenHaloDB
2026-07-07,orioledb-16,1.8-beta16,1.8-beta16,PG 16,PG 16
2026-07-07,orioledb-17,1.8-beta16,1.8-beta16,PG 17,PG 17
2026-07-07,orioledb-18,1.8-beta16,1.8-beta16,PG 18,PG 18
2026-07-07,pgedge-15,,15.18,Spock 5.0.10,Spock 5.0.10
2026-07-07,pgedge-16,,16.14,Spock 5.0.10,Spock 5.0.10
2026-07-07,pgedge-17,17.9,17.10,Spock 5.0.10,Spock 5.0.10
2026-07-07,pgedge-18,18.3,18.4,Spock 5.0.10,Spock 5.0.10
2026-07-07,polardb-17,,17.10.1.0,PG 17,PG 17
2026-07-01,citus,14.0.0-4,14.1.0,PG 16-18,PG 16-18
2026-07-01,documentdb,0.112,0.113,PG 15-18,PG 15-18
2026-07-01,pg_biscuit,2.3.0,2.4.1,PG 16-18,PG 16-18
2026-07-01,pg_ivm,1.14,1.15,PG 14-18,PG 14-18
2026-07-01,pg_roaringbitmap,1.1.0,1.2.0-2,"PG 14-18, llvm-lto packaging fix",PG 14-18，llvm-lto 打包修复
2026-07-01,pgmnemo,0.8.3,0.12.1,PG 14-18,PG 14-18
2026-07-01,pgvector,0.8.3,0.8.4,PG 14-18,PG 14-18
2026-07-01,plpgsql_check,2.9.1,2.9.2,PG 14-18,PG 14-18
2026-07-01,rdf_fdw,2.5.0,2.6.0,"PG 14-18, libcurl compatibility patch",PG 14-18，libcurl 兼容补丁
2026-07-01,timescaledb,2.28.0,2.28.2,PG 15-18,PG 15-18
2026-06-18,age,1.7.0,1.7.0,"PG 17-18, RPM rename to age_$v; PG 17-18",PG 17-18，RPM 包名改为 age_$v；PG 17-18
2026-06-18,db2fce,,0.0.17,"new, PG 14-18",新增，PG 14-18
2026-06-18,documentdb,0.110,0.112,PG 15-18,PG 15-18
2026-06-18,etcd_fdw,0.0.0,0.0.1,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,mongo_fdw,,5.5.3,"new, PG 14-18",新增，PG 14-18
2026-06-18,multicorn,,3.2,"new, PG 14-18",新增，PG 14-18
2026-06-18,orioledb,1.7-beta15,1.8-beta16,"Build for PG 16, 17, 18",为 PG 16、17、18 构建
2026-06-18,passwordpolicy,,2.0.5,"new, PG 14-18",新增，PG 14-18
2026-06-18,pg_anon,3.0.13,3.1.1,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,pg_biscuit,2.2.2,2.3.0,PG 16-18,PG 16-18
2026-06-18,pg_clickhouse,0.3.1,0.3.2,PG 14-18,PG 14-18
2026-06-18,pg_ducklake,,1.0.0,"new, PG 14-18",新增，PG 14-18
2026-06-18,pg_graphql,1.5.12,1.6.1,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,pg_gzip,1.0.0,1.1.0,"PG 14-18, RPM rename to pgsql_gzip_$v; PG 14-18",PG 14-18，RPM 包名改为 pgsql_gzip_$v；PG 14-18
2026-06-18,pg_http,1.7.0,1.7.1,"PG 14-18, RPM rename to pgsql_http_$v; PG 14-18",PG 14-18，RPM 包名改为 pgsql_http_$v；PG 14-18
2026-06-18,pg_kazsearch,2.0.0,2.2.0,"PG 16-18, pgrx 0.18.1",PG 16-18，pgrx 0.18.1
2026-06-18,pg_mockable,,1.1.0,"new, PG 14-18",新增，PG 14-18
2026-06-18,pg_session_jwt,0.4.0,0.5.0,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,pg_stat_backtrace,,1.0.0,"new, PG 14-18, libunwind",新增，PG 14-18，libunwind
2026-06-18,pg_timeseries,0.2.0,0.2.1,PG 14-18,PG 14-18
2026-06-18,pg_tzf,0.2.4,0.3.0,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,pg_vectorize,0.26.1,0.26.2,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,pgdisablelogerror,,1.0,"new, PG 14-18",新增，PG 14-18
2026-06-18,pgfincore,1.3.1,1.4.0,"PG 14-18, RPM only",PG 14-18，仅 RPM
2026-06-18,pglinter,1.1.2,2.0.0,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,pgmqtt,0.1.0,0.3.0,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-18,pgrdf,0.5.0,0.6.4,"PG 14-17, pgrx 0.18.1",PG 14-17，pgrx 0.18.1
2026-06-18,pgvector,0.8.2,0.8.3,PG 14-18,PG 14-18
2026-06-18,plpgsql_wrap,,1.0,"new, PG 14-18",新增，PG 14-18
2026-06-18,provsql,1.9.0,1.10.0,PG 14-18,PG 14-18
2026-06-18,timescaledb,2.27.2,2.28.0,PG 15-18,PG 15-18
2026-06-18,timescaledb_toolkit,1.22.0,1.23.0,"PG 15-18, pgrx 0.18.1",PG 15-18，pgrx 0.18.1
2026-06-18,toastinfo,1.6,1.7,"PG 14-18, RPM only",PG 14-18，仅 RPM
2026-06-18,wrappers,0.6.0,0.6.1,"PG 14-18, pgrx 0.18.1",PG 14-18，pgrx 0.18.1
2026-06-12,firebird_fdw,1.4.1,1.4.2,PG 14-18,PG 14-18
2026-06-12,fsm_core,,1.1.0,"new, PG 15-18",新增，PG 15-18
2026-06-12,pg_background,1.9.2,2.0,PG 14-18,PG 14-18
2026-06-12,pg_clickhouse,0.3.0,0.3.1,PG 14-18,PG 14-18
2026-06-12,pg_dirtyread,2.7,2.8,"PG 14-18, RPM only",PG 14-18，仅 RPM
2026-06-12,pg_extra_time,,2.1.0,"new, PG 14-18",新增，PG 14-18
2026-06-12,pg_net,0.20.2,0.20.3,"PG 14-18, EL10 only",PG 14-18，仅 EL10
2026-06-12,pg_orca,,1.0.0,"new, PG 18 only",新增，仅 PG 18
2026-06-12,pg_pinyin,,0.0.4,"new, PG 14-18",新增，PG 14-18
2026-06-12,pg_projection,,1.0.0,"new, PG 14-18",新增，PG 14-18
2026-06-12,pg_search,0.23.1,0.24.0,PG 15-18,PG 15-18
2026-06-12,pg_sorted_heap,,0.14.0,"new, PG 16-18",新增，PG 16-18
2026-06-12,pg_stat_ch,0.3.6,0.3.6,"PG 16-18, EL9/EL10 only, rebuild",PG 16-18，仅 EL9/EL10，重建
2026-06-12,pg_stl,,1.0.0,"new, PG 16-18",新增，PG 16-18
2026-06-12,pg_task,,2.1.29,"new, PG 14-18, pcre2grep fix",新增，PG 14-18，pcre2grep fix
2026-06-12,pg_trickle,0.40.0,0.81.0,PG 18 only,仅 PG 18
2026-06-12,pg_uuid_v8,,1.0.0,"new, PG 14-18",新增，PG 14-18
2026-06-12,pggraph,0.1.5,0.1.7,PG 14-18,PG 14-18
2026-06-12,pgmnemo,0.7.2,0.8.3,PG 14-18,PG 14-18
2026-06-12,pgsql_tweaks,1.0.2,1.0.3,PG 14-18,PG 14-18
2026-06-12,plpgsql_check,2.9.0,2.9.1,PG 14-18,PG 14-18
2026-06-12,provsql,1.8.0,1.9.0,PG 14-18,PG 14-18
2026-06-12,re2,0.1.1,0.3.0,PG 16-18,PG 16-18
2026-06-12,storage_engine,2.3.0,2.4.0,PG 15-18,PG 15-18
2026-06-12,timescaledb,2.27.0,2.27.2,PG 15-18,PG 15-18
2026-06-12,toastinfo,1.5,1.6,"PG 14-18, RPM only",PG 14-18，仅 RPM
2026-05-15,pg_clickhouse,0.2.0,0.3.0,"PGXN bump, ClickHouse query integration",PGXN 更新，ClickHouse 查询集成
2026-05-15,pg_textsearch,1.1.0,1.2.0,"Timescale BM25 full-text search, PG 17-18",Timescale BM25 全文搜索扩展更新，PG 17-18
2026-05-15,pgclone,4.0.0,4.3.2,"PGXN bump, PG 14-18",PGXN 更新，PG 14-18
2026-05-15,provsql,1.2.3,1.4.0,"PGXN bump, provenance and uncertainty engine",PGXN 更新，数据溯源与不确定性管理引擎
2026-05-15,psql_bm25s,,0.4.13,"new BM25 lexical retrieval extension, PG 17-18",新增 BM25 词法检索扩展，PG 17-18
2026-05-15,storage_engine,1.3.4,2.3.0,"PGXN 2.x bump, PG 15-18",PGXN 2.x 更新，PG 15-18
2026-05-15,timescaledb,2.26.4,2.27.0,"TimescaleDB TSL minor update, PG 15-18",TimescaleDB TSL 小版本更新，PG 15-18
2026-05-01,lolor,1.2.2,1.2.2,rebuilt for PG 18,针对 18 重新构建
2026-05-01,pg_bikram_sambat,,0.1.0,"new, Bikram Sambat date type and AD/BS conversion; new Bikram Sambat date type and AD/BS conversions",新增，尼泊尔 Bikram Sambat 日期类型与 AD/BS 转换函数；新增 Bikram Sambat 日期类型与 AD/BS 转换函数
2026-05-01,pg_pathcheck,,0.9.1,"new, PG 17-18, requires preload; new planner Path diagnostics module, PG 17-18, shared_preload_libraries required",新增，PG 17-18，需通过 shared_preload_libraries 加载；新增 planner Path 诊断模块，PG 17-18，需 shared_preload_libraries
2026-05-01,pg_savior,0.0.1,0.1.0,"DDL/DML safety hook, preload or LOAD; PGXN update, high-risk DDL/DML hook, preload or LOAD required",高风险 DDL/DML 防护 hook，需 preload 或 LOAD；PGXN 更新，防误删/高风险 DDL/DML hook，需 preload 或 LOAD
